chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER XXXII,28,2,All field sports were over.,"['field', 'sport']",2,field sport
CHAPTER XXXII,28,3,"Within doors there was Lady Catherine, books, and a billiard table, but gentlemen cannot be always within doors; and in the nearness of the Parsonage, or the pleasantness of the walk to it, or of the people who lived in it, the two cousins found a temptation from this period of walking thither almost every day.","['within', 'door', 'lady', 'catherine', 'book', 'billiard', 'table', 'gentleman', 'always', 'within', 'door', 'nearness', 'parsonage', 'pleasantness', 'walk', 'people', 'lived', 'two', 'cousin', 'found', 'temptation', 'period', 'walking', 'thither', 'almost', 'every', 'day']",27,within door lady catherine book billiard table gentleman always within door nearness parsonage pleasantness walk people lived two cousin found temptation period walking thither almost every day
CHAPTER XXXII,28,4,"They called at various times of the morning, sometimes separately, sometimes together, and now and then accompanied by their aunt.","['called', 'various', 'time', 'morning', 'sometimes', 'separately', 'sometimes', 'together', 'accompanied', 'aunt']",10,called various time morning sometimes separately sometimes together accompanied aunt
CHAPTER XXXII,28,5,"It was plain to them all that Colonel Fitzwilliam came because he had pleasure in their society, a persuasion which of course recommended him still more; and Elizabeth was reminded by her own satisfaction in being with him, as well as by his evident admiration, of her former favourite, George Wickham; and though, in comparing them, she saw there was less captivating softness in Colonel Fitzwilliam’s manners, she believed he might have the best informed mind.","['plain', 'colonel', 'fitzwilliam', 'came', 'pleasure', 'society', 'persuasion', 'course', 'recommended', 'still', 'elizabeth', 'reminded', 'satisfaction', 'well', 'evident', 'admiration', 'former', 'favourite', 'george', 'wickham', 'though', 'comparing', 'saw', 'less', 'captivating', 'softness', 'colonel', 'fitzwilliam', 'manner', 'believed', 'might', 'best', 'informed', 'mind']",34,plain colonel fitzwilliam came pleasure society persuasion course recommended still elizabeth reminded satisfaction well evident admiration former favourite george wickham though comparing saw less captivating softness colonel fitzwilliam manner believed might best informed mind
CHAPTER XXXII,29,1,But why Mr. Darcy came so often to the Parsonage it was more difficult to understand.,"['darcy', 'came', 'often', 'parsonage', 'difficult', 'understand']",6,darcy came often parsonage difficult understand
CHAPTER XXXII,29,2,"It could not be for society, as he frequently sat there ten minutes together without opening his lips; and when he did speak, it seemed the effect of necessity rather than of choice--a sacrifice to propriety, not a pleasure to himself.","['could', 'society', 'frequently', 'sat', 'ten', 'minute', 'together', 'without', 'opening', 'lip', 'speak', 'seemed', 'effect', 'necessity', 'rather', 'choice', 'sacrifice', 'propriety', 'pleasure']",19,could society frequently sat ten minute together without opening lip speak seemed effect necessity rather choice sacrifice propriety pleasure
CHAPTER XXXII,29,3,He seldom appeared really animated.,"['seldom', 'appeared', 'really', 'animated']",4,seldom appeared really animated
CHAPTER XXXII,29,4,Mrs. Collins knew not what to make of him.,"['collins', 'knew', 'make']",3,collins knew make
CHAPTER XXXII,29,5,"Colonel Fitzwilliam’s occasionally laughing at his stupidity proved that he was generally different, which her own knowledge of him could not have told her; and as she would have liked to believe this change the effect of love, and the object of that love her friend Eliza, she set herself seriously to work to find it out: she watched him whenever they were at Rosings, and whenever he came to Hunsford; but without much success.","['colonel', 'fitzwilliam', 'occasionally', 'laughing', 'stupidity', 'proved', 'generally', 'different', 'knowledge', 'could', 'told', 'would', 'liked', 'believe', 'change', 'effect', 'love', 'object', 'love', 'friend', 'eliza', 'set', 'seriously', 'work', 'find', 'watched', 'whenever', 'rosings', 'whenever', 'came', 'hunsford', 'without', 'much', 'success']",34,colonel fitzwilliam occasionally laughing stupidity proved generally different knowledge could told would liked believe change effect love object love friend eliza set seriously work find watched whenever rosings whenever came hunsford without much success
CHAPTER XXXII,29,6,"He certainly looked at her friend a great deal, but the expression of that look was disputable.","['certainly', 'looked', 'friend', 'great', 'deal', 'expression', 'look', 'disputable']",8,certainly looked friend great deal expression look disputable
CHAPTER XXXII,29,7,"It was an earnest, steadfast gaze, but she often doubted whether there were much admiration in it, and sometimes it seemed nothing but absence of mind.","['earnest', 'steadfast', 'gaze', 'often', 'doubted', 'whether', 'much', 'admiration', 'sometimes', 'seemed', 'nothing', 'absence', 'mind']",13,earnest steadfast gaze often doubted whether much admiration sometimes seemed nothing absence mind
CHAPTER XXXII,30,1,"She had once or twice suggested to Elizabeth the possibility of his being partial to her, but Elizabeth always laughed at the idea; and Mrs. Collins did not think it right to press the subject, from the danger of raising expectations which might only end in disappointment; for in her opinion it admitted not of a doubt, that all her friend’s dislike would vanish, if she could suppose him to be in her power.","['twice', 'suggested', 'elizabeth', 'possibility', 'partial', 'elizabeth', 'always', 'laughed', 'idea', 'collins', 'think', 'right', 'press', 'subject', 'danger', 'raising', 'expectation', 'might', 'end', 'disappointment', 'opinion', 'admitted', 'doubt', 'friend', 'dislike', 'would', 'vanish', 'could', 'suppose', 'power']",30,twice suggested elizabeth possibility partial elizabeth always laughed idea collins think right press subject danger raising expectation might end disappointment opinion admitted doubt friend dislike would vanish could suppose power
CHAPTER XXXII,31,1,"In her kind schemes for Elizabeth, she sometimes planned her marrying Colonel Fitzwilliam.","['kind', 'scheme', 'elizabeth', 'sometimes', 'planned', 'marrying', 'colonel', 'fitzwilliam']",8,kind scheme elizabeth sometimes planned marrying colonel fitzwilliam
CHAPTER XXXII,31,2,"He was, beyond comparison, the pleasantest man: he certainly admired her, and his situation in life was most eligible; but, to counterbalance these advantages, Mr. Darcy had considerable patronage in the church, and his cousin could have none at all.","['beyond', 'comparison', 'pleasantest', 'man', 'certainly', 'admired', 'situation', 'life', 'eligible', 'counterbalance', 'advantage', 'darcy', 'considerable', 'patronage', 'church', 'cousin', 'could', 'none']",18,beyond comparison pleasantest man certainly admired situation life eligible counterbalance advantage darcy considerable patronage church cousin could none
CHAPTER XXXIII,1,1,"More than once did Elizabeth, in her ramble within the park, unexpectedly meet Mr. Darcy.","['elizabeth', 'ramble', 'within', 'park', 'unexpectedly', 'meet', 'darcy']",7,elizabeth ramble within park unexpectedly meet darcy
CHAPTER XXXIII,1,2,"She felt all the perverseness of the mischance that should bring him where no one else was brought; and, to prevent its ever happening again, took care to inform him, at first, that it was a favourite haunt of hers.","['felt', 'perverseness', 'mischance', 'bring', 'one', 'else', 'brought', 'prevent', 'ever', 'happening', 'took', 'care', 'inform', 'first', 'favourite', 'haunt']",16,felt perverseness mischance bring one else brought prevent ever happening took care inform first favourite haunt
CHAPTER XXXIII,1,3,"How it could occur a second time, therefore, was very odd!","['could', 'occur', 'second', 'time', 'therefore', 'odd']",6,could occur second time therefore odd
CHAPTER XXXIII,1,4,"Yet it did, and even the third.","['yet', 'even', 'third']",3,yet even third
CHAPTER XXXIII,1,5,"It seemed like wilful ill-nature, or a voluntary penance; for on these occasions it was not merely a few formal inquiries and an awkward pause and then away, but he actually thought it necessary to turn back and walk with her.","['seemed', 'like', 'wilful', 'voluntary', 'penance', 'occasion', 'merely', 'formal', 'inquiry', 'awkward', 'pause', 'away', 'actually', 'thought', 'necessary', 'turn', 'back', 'walk']",18,seemed like wilful voluntary penance occasion merely formal inquiry awkward pause away actually thought necessary turn back walk
CHAPTER XXXIII,1,6,"He never said a great deal, nor did she give herself the trouble of talking or of listening much; but it struck her in the course of their third encounter that he was asking some odd unconnected questions--about her pleasure in being at Hunsford, her love of solitary walks, and her opinion of Mr. and Mrs. Collins’s happiness; and that in speaking of Rosings, and her not perfectly understanding the house, he seemed to expect that whenever she came into Kent again she would be staying _there_ too.","['never', 'said', 'great', 'deal', 'give', 'trouble', 'talking', 'listening', 'much', 'struck', 'course', 'third', 'encounter', 'asking', 'odd', 'unconnected', 'question', 'pleasure', 'hunsford', 'love', 'solitary', 'walk', 'opinion', 'collins', 'happiness', 'speaking', 'rosings', 'perfectly', 'understanding', 'house', 'seemed', 'expect', 'whenever', 'came', 'kent', 'would', 'staying']",37,never said great deal give trouble talking listening much struck course third encounter asking odd unconnected question pleasure hunsford love solitary walk opinion collins happiness speaking rosings perfectly understanding house seemed expect whenever came kent would staying
CHAPTER XXXIII,1,7,His words seemed to imply it.,"['word', 'seemed', 'imply']",3,word seemed imply
CHAPTER XXXIII,1,8,Could he have Colonel Fitzwilliam in his thoughts?,"['could', 'colonel', 'fitzwilliam', 'thought']",4,could colonel fitzwilliam thought
CHAPTER XXXIII,1,9,"She supposed, if he meant anything, he must mean an allusion to what might arise in that quarter.","['supposed', 'meant', 'anything', 'must', 'mean', 'allusion', 'might', 'arise', 'quarter']",9,supposed meant anything must mean allusion might arise quarter
CHAPTER XXXIII,1,10,"It distressed her a little, and she was quite glad to find herself at the gate in the pales opposite the Parsonage.","['distressed', 'little', 'quite', 'glad', 'find', 'gate', 'pale', 'opposite', 'parsonage']",9,distressed little quite glad find gate pale opposite parsonage
CHAPTER XXXIII,2,1,"She was engaged one day, as she walked, in re-perusing Jane’s last letter, and dwelling on some passages which proved that Jane had not written in spirits, when, instead of being again surprised by Mr. Darcy, she saw, on looking up, that Colonel Fitzwilliam was meeting her.","['engaged', 'one', 'day', 'walked', 'jane', 'last', 'letter', 'dwelling', 'passage', 'proved', 'jane', 'written', 'spirit', 'instead', 'surprised', 'darcy', 'saw', 'looking', 'colonel', 'fitzwilliam', 'meeting']",21,engaged one day walked jane last letter dwelling passage proved jane written spirit instead surprised darcy saw looking colonel fitzwilliam meeting
CHAPTER XXXIII,2,2,"Putting away the letter immediately, and forcing a smile, she said,--","['putting', 'away', 'letter', 'immediately', 'forcing', 'smile', 'said']",7,putting away letter immediately forcing smile said
CHAPTER XXXIII,3,1,“I did not know before that you ever walked this way.”,"['know', 'ever', 'walked', 'way']",4,know ever walked way
CHAPTER XXXIII,4,1,"“I have been making the tour of the park,” he replied, “as I generally do every year, and intended to close it with a call at the Parsonage.","['making', 'tour', 'park', 'replied', 'generally', 'every', 'year', 'intended', 'close', 'call', 'parsonage']",11,making tour park replied generally every year intended close call parsonage
CHAPTER XXXIII,4,2,Are you going much farther?”,"['going', 'much', 'farther']",3,going much farther
CHAPTER XXXIII,5,1,"“No, I should have turned in a moment.”","['turned', 'moment']",2,turned moment
CHAPTER XXXIII,6,1,"And accordingly she did turn, and they walked towards the Parsonage together.","['accordingly', 'turn', 'walked', 'towards', 'parsonage', 'together']",6,accordingly turn walked towards parsonage together
CHAPTER XXXIII,7,1,“Do you certainly leave Kent on Saturday?” said she.,"['certainly', 'leave', 'kent', 'saturday', 'said']",5,certainly leave kent saturday said
CHAPTER XXXIII,8,1,“Yes--if Darcy does not put it off again.,"['yes', 'darcy', 'put']",3,yes darcy put
CHAPTER XXXIII,8,2,But I am at his disposal.,['disposal'],1,disposal
CHAPTER XXXIII,8,3,He arranges the business just as he pleases.”,"['arranges', 'business', 'pleases']",3,arranges business pleases
CHAPTER XXXIII,9,1,"“And if not able to please himself in the arrangement, he has at least great pleasure in the power of choice.","['able', 'please', 'arrangement', 'least', 'great', 'pleasure', 'power', 'choice']",8,able please arrangement least great pleasure power choice
CHAPTER XXXIII,9,2,I do not know anybody who seems more to enjoy the power of doing what he likes than Mr. Darcy.”,"['know', 'anybody', 'seems', 'enjoy', 'power', 'like', 'darcy']",7,know anybody seems enjoy power like darcy
CHAPTER XXXIII,10,1,"“He likes to have his own way very well,” replied Colonel Fitzwilliam.","['like', 'way', 'well', 'replied', 'colonel', 'fitzwilliam']",6,like way well replied colonel fitzwilliam
CHAPTER XXXIII,10,2,“But so we all do.,[],0,
CHAPTER XXXIII,10,3,"It is only that he has better means of having it than many others, because he is rich, and many others are poor.","['better', 'mean', 'many', 'others', 'rich', 'many', 'others', 'poor']",8,better mean many others rich many others poor
CHAPTER XXXIII,10,4,I speak feelingly.,"['speak', 'feelingly']",2,speak feelingly
CHAPTER XXXIII,10,5,"A younger son, you know, must be inured to self-denial and dependence.”","['younger', 'son', 'know', 'must', 'inured', 'dependence']",6,younger son know must inured dependence
CHAPTER XXXIII,11,1,"“In my opinion, the younger son of an earl can know very little of either.","['opinion', 'younger', 'son', 'earl', 'know', 'little', 'either']",7,opinion younger son earl know little either
CHAPTER XXXIII,11,2,"Now, seriously, what have you ever known of self-denial and dependence?","['seriously', 'ever', 'known', 'dependence']",4,seriously ever known dependence
CHAPTER XXXIII,11,3,When have you been prevented by want of money from going wherever you chose or procuring anything you had a fancy for?”,"['prevented', 'want', 'money', 'going', 'wherever', 'chose', 'procuring', 'anything', 'fancy']",9,prevented want money going wherever chose procuring anything fancy
CHAPTER XXXIII,12,1,“These are home questions--and perhaps I cannot say that I have experienced many hardships of that nature.,"['home', 'question', 'perhaps', 'say', 'experienced', 'many', 'hardship', 'nature']",8,home question perhaps say experienced many hardship nature
CHAPTER XXXIII,12,2,"But in matters of greater weight, I may suffer from the want of money.","['matter', 'greater', 'weight', 'may', 'suffer', 'want', 'money']",7,matter greater weight may suffer want money
CHAPTER XXXIII,12,3,Younger sons cannot marry where they like.”,"['younger', 'son', 'marry', 'like']",4,younger son marry like
CHAPTER XXXIII,13,1,"“Unless where they like women of fortune, which I think they very often do.”","['unless', 'like', 'woman', 'fortune', 'think', 'often']",6,unless like woman fortune think often
CHAPTER XXXIII,14,1,"“Our habits of expense make us too dependent, and there are not many in my rank of life who can afford to marry without some attention to money.”","['habit', 'expense', 'make', 'u', 'dependent', 'many', 'rank', 'life', 'afford', 'marry', 'without', 'attention', 'money']",13,habit expense make u dependent many rank life afford marry without attention money
CHAPTER XXXIII,15,1,"“Is this,” thought Elizabeth, “meant for me?” and she coloured at the idea; but, recovering herself, said in a lively tone, “And pray, what is the usual price of an earl’s younger son?","['thought', 'elizabeth', 'meant', 'coloured', 'idea', 'recovering', 'said', 'lively', 'tone', 'pray', 'usual', 'price', 'earl', 'younger', 'son']",15,thought elizabeth meant coloured idea recovering said lively tone pray usual price earl younger son
CHAPTER XXXIII,15,2,"Unless the elder brother is very sickly, I suppose you would not ask above fifty thousand pounds.”","['unless', 'elder', 'brother', 'sickly', 'suppose', 'would', 'ask', 'fifty', 'thousand', 'pound']",10,unless elder brother sickly suppose would ask fifty thousand pound
CHAPTER XXXIII,16,1,"He answered her in the same style, and the subject dropped.","['answered', 'style', 'subject', 'dropped']",4,answered style subject dropped
CHAPTER XXXIII,16,2,"To interrupt a silence which might make him fancy her affected with what had passed, she soon afterwards said,--","['interrupt', 'silence', 'might', 'make', 'fancy', 'affected', 'passed', 'soon', 'afterwards', 'said']",10,interrupt silence might make fancy affected passed soon afterwards said
CHAPTER XXXIII,17,1,“I imagine your cousin brought you down with him chiefly for the sake of having somebody at his disposal.,"['imagine', 'cousin', 'brought', 'chiefly', 'sake', 'somebody', 'disposal']",7,imagine cousin brought chiefly sake somebody disposal
CHAPTER XXXIII,17,2,"I wonder he does not marry, to secure a lasting convenience of that kind.","['wonder', 'marry', 'secure', 'lasting', 'convenience', 'kind']",6,wonder marry secure lasting convenience kind
CHAPTER XXXIII,17,3,"But, perhaps, his sister does as well for the present; and, as she is under his sole care, he may do what he likes with her.”","['perhaps', 'sister', 'well', 'present', 'sole', 'care', 'may', 'like']",8,perhaps sister well present sole care may like
CHAPTER XXXIII,18,1,"“No,” said Colonel Fitzwilliam, “that is an advantage which he must divide with me.","['said', 'colonel', 'fitzwilliam', 'advantage', 'must', 'divide']",6,said colonel fitzwilliam advantage must divide
CHAPTER XXXIII,18,2,I am joined with him in the guardianship of Miss Darcy.”,"['joined', 'guardianship', 'miss', 'darcy']",4,joined guardianship miss darcy
CHAPTER XXXIII,19,1,"“Are you, indeed?",['indeed'],1,indeed
CHAPTER XXXIII,19,2,And pray what sort of a guardian do you make?,"['pray', 'sort', 'guardian', 'make']",4,pray sort guardian make
CHAPTER XXXIII,19,3,Does your charge give you much trouble?,"['charge', 'give', 'much', 'trouble']",4,charge give much trouble
CHAPTER XXXIII,19,4,"Young ladies of her age are sometimes a little difficult to manage; and if she has the true Darcy spirit, she may like to have her own way.”","['young', 'lady', 'age', 'sometimes', 'little', 'difficult', 'manage', 'true', 'darcy', 'spirit', 'may', 'like', 'way']",13,young lady age sometimes little difficult manage true darcy spirit may like way
CHAPTER XXXIII,20,1,"As she spoke, she observed him looking at her earnestly; and the manner in which he immediately asked her why she supposed Miss Darcy likely to give them any uneasiness, convinced her that she had somehow or other got pretty near the truth.","['spoke', 'observed', 'looking', 'earnestly', 'manner', 'immediately', 'asked', 'supposed', 'miss', 'darcy', 'likely', 'give', 'uneasiness', 'convinced', 'somehow', 'got', 'pretty', 'near', 'truth']",19,spoke observed looking earnestly manner immediately asked supposed miss darcy likely give uneasiness convinced somehow got pretty near truth
CHAPTER XXXIII,20,2,"She directly replied,--","['directly', 'replied']",2,directly replied
CHAPTER XXXIII,21,1,“You need not be frightened.,"['need', 'frightened']",2,need frightened
CHAPTER XXXIII,21,2,I never heard any harm of her; and I dare say she is one of the most tractable creatures in the world.,"['never', 'heard', 'harm', 'dare', 'say', 'one', 'tractable', 'creature', 'world']",9,never heard harm dare say one tractable creature world
CHAPTER XXXIII,21,3,"She is a very great favourite with some ladies of my acquaintance, Mrs. Hurst and Miss Bingley.","['great', 'favourite', 'lady', 'acquaintance', 'hurst', 'miss', 'bingley']",7,great favourite lady acquaintance hurst miss bingley
CHAPTER XXXIII,21,4,I think I have heard you say that you know them.”,"['think', 'heard', 'say', 'know']",4,think heard say know
CHAPTER XXXIII,22,1,“I know them a little.,"['know', 'little']",2,know little
CHAPTER XXXIII,22,2,"Their brother is a pleasant, gentlemanlike man--he is a great friend of Darcy’s.”","['brother', 'pleasant', 'gentlemanlike', 'man', 'great', 'friend', 'darcy']",7,brother pleasant gentlemanlike man great friend darcy
CHAPTER XXXIII,23,1,"“Oh yes,” said Elizabeth drily--“Mr.","['oh', 'yes', 'said', 'elizabeth', 'drily', 'mr']",6,oh yes said elizabeth drily mr
CHAPTER XXXIII,23,2,"Darcy is uncommonly kind to Mr. Bingley, and takes a prodigious deal of care of him.”","['darcy', 'uncommonly', 'kind', 'bingley', 'take', 'prodigious', 'deal', 'care']",8,darcy uncommonly kind bingley take prodigious deal care
CHAPTER XXXIII,24,1,“Care of him!,['care'],1,care
CHAPTER XXXIII,24,2,"Yes, I really believe Darcy _does_ take care of him in those points where he most wants care.","['yes', 'really', 'believe', 'darcy', 'take', 'care', 'point', 'want', 'care']",9,yes really believe darcy take care point want care
CHAPTER XXXIII,24,3,"From something that he told me in our journey hither, I have reason to think Bingley very much indebted to him.","['something', 'told', 'journey', 'hither', 'reason', 'think', 'bingley', 'much', 'indebted']",9,something told journey hither reason think bingley much indebted
CHAPTER XXXIII,24,4,"But I ought to beg his pardon, for I have no right to suppose that Bingley was the person meant.","['ought', 'beg', 'pardon', 'right', 'suppose', 'bingley', 'person', 'meant']",8,ought beg pardon right suppose bingley person meant
CHAPTER XXXIII,24,5,It was all conjecture.”,['conjecture'],1,conjecture
CHAPTER XXXIII,25,1,“What is it you mean?”,['mean'],1,mean
CHAPTER XXXIII,26,1,"“It is a circumstance which Darcy of course could not wish to be generally known, because if it were to get round to the lady’s family it would be an unpleasant thing.”","['circumstance', 'darcy', 'course', 'could', 'wish', 'generally', 'known', 'get', 'round', 'lady', 'family', 'would', 'unpleasant', 'thing']",14,circumstance darcy course could wish generally known get round lady family would unpleasant thing
CHAPTER XXXIII,27,1,“You may depend upon my not mentioning it.”,"['may', 'depend', 'upon', 'mentioning']",4,may depend upon mentioning
CHAPTER XXXIII,28,1,“And remember that I have not much reason for supposing it to be Bingley.,"['remember', 'much', 'reason', 'supposing', 'bingley']",5,remember much reason supposing bingley
CHAPTER XXXIII,28,2,"What he told me was merely this: that he congratulated himself on having lately saved a friend from the inconveniences of a most imprudent marriage, but without mentioning names or any other particulars; and I only suspected it to be Bingley from believing him the kind of young man to get into a scrape of that sort, and from knowing them to have been together the whole of last summer.”","['told', 'merely', 'congratulated', 'lately', 'saved', 'friend', 'inconvenience', 'imprudent', 'marriage', 'without', 'mentioning', 'name', 'particular', 'suspected', 'bingley', 'believing', 'kind', 'young', 'man', 'get', 'scrape', 'sort', 'knowing', 'together', 'whole', 'last', 'summer']",27,told merely congratulated lately saved friend inconvenience imprudent marriage without mentioning name particular suspected bingley believing kind young man get scrape sort knowing together whole last summer
CHAPTER XXXIII,29,1,“Did Mr. Darcy give you his reasons for this interference?”,"['darcy', 'give', 'reason', 'interference']",4,darcy give reason interference
CHAPTER XXXIII,30,1,“I understood that there were some very strong objections against the lady.”,"['understood', 'strong', 'objection', 'lady']",4,understood strong objection lady
CHAPTER XXXIII,31,1,“And what arts did he use to separate them?”,"['art', 'use', 'separate']",3,art use separate
CHAPTER XXXIII,32,1,"“He did not talk to me of his own arts,” said Fitzwilliam, smiling.","['talk', 'art', 'said', 'fitzwilliam', 'smiling']",5,talk art said fitzwilliam smiling
CHAPTER XXXIII,32,2,“He only told me what I have now told you.”,"['told', 'told']",2,told told
CHAPTER XXXIII,33,1,"Elizabeth made no answer, and walked on, her heart swelling with indignation.","['elizabeth', 'made', 'answer', 'walked', 'heart', 'swelling', 'indignation']",7,elizabeth made answer walked heart swelling indignation
CHAPTER XXXIII,33,2,"After watching her a little, Fitzwilliam asked her why she was so thoughtful.","['watching', 'little', 'fitzwilliam', 'asked', 'thoughtful']",5,watching little fitzwilliam asked thoughtful
CHAPTER XXXIII,34,1,"“I am thinking of what you have been telling me,” said she.","['thinking', 'telling', 'said']",3,thinking telling said
CHAPTER XXXIII,34,2,“Your cousin’s conduct does not suit my feelings.,"['cousin', 'conduct', 'suit', 'feeling']",4,cousin conduct suit feeling
CHAPTER XXXIII,34,3,Why was he to be the judge?”,['judge'],1,judge
CHAPTER XXXIII,35,1,“You are rather disposed to call his interference officious?”,"['rather', 'disposed', 'call', 'interference', 'officious']",5,rather disposed call interference officious
CHAPTER XXXIII,36,1,"“I do not see what right Mr. Darcy had to decide on the propriety of his friend’s inclination; or why, upon his own judgment alone, he was to determine and direct in what manner that friend was to be happy.","['see', 'right', 'darcy', 'decide', 'propriety', 'friend', 'inclination', 'upon', 'judgment', 'alone', 'determine', 'direct', 'manner', 'friend', 'happy']",15,see right darcy decide propriety friend inclination upon judgment alone determine direct manner friend happy
CHAPTER XXXIII,36,2,"But,” she continued, recollecting herself, “as we know none of the particulars, it is not fair to condemn him.","['continued', 'recollecting', 'know', 'none', 'particular', 'fair', 'condemn']",7,continued recollecting know none particular fair condemn
CHAPTER XXXIII,36,3,It is not to be supposed that there was much affection in the case.”,"['supposed', 'much', 'affection', 'case']",4,supposed much affection case
CHAPTER XXXIII,37,1,"“That is not an unnatural surmise,” said Fitzwilliam; “but it is lessening the honour of my cousin’s triumph very sadly.”","['unnatural', 'surmise', 'said', 'fitzwilliam', 'lessening', 'honour', 'cousin', 'triumph', 'sadly']",9,unnatural surmise said fitzwilliam lessening honour cousin triumph sadly
CHAPTER XXXIII,38,1,"This was spoken jestingly, but it appeared to her so just a picture of Mr. Darcy, that she would not trust herself with an answer; and, therefore, abruptly changing the conversation, talked on indifferent matters till they reached the Parsonage.","['spoken', 'jestingly', 'appeared', 'picture', 'darcy', 'would', 'trust', 'answer', 'therefore', 'abruptly', 'changing', 'conversation', 'talked', 'indifferent', 'matter', 'till', 'reached', 'parsonage']",18,spoken jestingly appeared picture darcy would trust answer therefore abruptly changing conversation talked indifferent matter till reached parsonage
CHAPTER XXXIII,38,2,"There, shut into her own room, as soon as their visitor left them, she could think without interruption of all that she had heard.","['shut', 'room', 'soon', 'visitor', 'left', 'could', 'think', 'without', 'interruption', 'heard']",10,shut room soon visitor left could think without interruption heard
CHAPTER XXXIII,38,3,It was not to be supposed that any other people could be meant than those with whom she was connected.,"['supposed', 'people', 'could', 'meant', 'connected']",5,supposed people could meant connected
CHAPTER XXXIII,38,4,There could not exist in the world _two_ men over whom Mr. Darcy could have such boundless influence.,"['could', 'exist', 'world', 'men', 'darcy', 'could', 'boundless', 'influence']",8,could exist world men darcy could boundless influence
CHAPTER XXXIII,38,5,"That he had been concerned in the measures taken to separate Mr. Bingley and Jane, she had never doubted; but she had always attributed to Miss Bingley the principal design and arrangement of them.","['concerned', 'measure', 'taken', 'separate', 'bingley', 'jane', 'never', 'doubted', 'always', 'attributed', 'miss', 'bingley', 'principal', 'design', 'arrangement']",15,concerned measure taken separate bingley jane never doubted always attributed miss bingley principal design arrangement
CHAPTER XXXIII,38,6,"If his own vanity, however, did not mislead him, _he_ was the cause--his pride and caprice were the cause--of all that Jane had suffered, and still continued to suffer.","['vanity', 'however', 'mislead', 'cause', 'pride', 'caprice', 'cause', 'jane', 'suffered', 'still', 'continued', 'suffer']",12,vanity however mislead cause pride caprice cause jane suffered still continued suffer
CHAPTER XXXIII,38,7,"He had ruined for a while every hope of happiness for the most affectionate, generous heart in the world; and no one could say how lasting an evil he might have inflicted.","['ruined', 'every', 'hope', 'happiness', 'affectionate', 'generous', 'heart', 'world', 'one', 'could', 'say', 'lasting', 'evil', 'might', 'inflicted']",15,ruined every hope happiness affectionate generous heart world one could say lasting evil might inflicted
CHAPTER XXXIII,39,1,"“There were some very strong objections against the lady,” were Colonel Fitzwilliam’s words; and these strong objections probably were, her having one uncle who was a country attorney, and another who was in business in London.","['strong', 'objection', 'lady', 'colonel', 'fitzwilliam', 'word', 'strong', 'objection', 'probably', 'one', 'uncle', 'country', 'attorney', 'another', 'business', 'london']",16,strong objection lady colonel fitzwilliam word strong objection probably one uncle country attorney another business london
CHAPTER XXXIII,40,1,"“To Jane herself,” she exclaimed, “there could be no possibility of objection,--all loveliness and goodness as she is!","['jane', 'exclaimed', 'could', 'possibility', 'objection', 'loveliness', 'goodness']",7,jane exclaimed could possibility objection loveliness goodness
CHAPTER XXXIII,40,2,"Her understanding excellent, her mind improved, and her manners captivating.","['understanding', 'excellent', 'mind', 'improved', 'manner', 'captivating']",6,understanding excellent mind improved manner captivating
CHAPTER XXXIII,40,3,"Neither could anything be urged against my father, who, though with some peculiarities, has abilities which Mr. Darcy himself need not disdain, and respectability which he will probably never reach.” When she thought of her mother, indeed, her confidence gave way a little; but she would not allow that any objections _there_ had material weight with Mr. Darcy, whose pride, she was convinced, would receive a deeper wound from the want of importance in his friend’s connections than from their want of sense; and she was quite decided, at last, that he had been partly governed by this worst kind of pride, and partly by the wish of retaining Mr. Bingley for his sister.","['neither', 'could', 'anything', 'urged', 'father', 'though', 'peculiarity', 'ability', 'darcy', 'need', 'disdain', 'respectability', 'probably', 'never', 'thought', 'mother', 'indeed', 'confidence', 'gave', 'way', 'little', 'would', 'allow', 'objection', 'material', 'weight', 'darcy', 'whose', 'pride', 'convinced', 'would', 'receive', 'deeper', 'wound', 'want', 'importance', 'friend', 'connection', 'want', 'sense', 'quite', 'decided', 'last', 'partly', 'governed', 'worst', 'kind', 'pride', 'partly', 'wish', 'retaining', 'bingley', 'sister']",53,neither could anything urged father though peculiarity ability darcy need disdain respectability probably never thought mother indeed confidence gave way little would allow objection material weight darcy whose pride convinced would receive deeper wound want importance friend connection want sense quite decided last partly governed worst kind pride partly wish retaining bingley sister
CHAPTER XXXIII,41,1,"The agitation and tears which the subject occasioned brought on a headache; and it grew so much worse towards the evening that, added to her unwillingness to see Mr. Darcy, it determined her not to attend her cousins to Rosings, where they were engaged to drink tea.","['agitation', 'tear', 'subject', 'occasioned', 'brought', 'headache', 'grew', 'much', 'worse', 'towards', 'evening', 'added', 'unwillingness', 'see', 'darcy', 'determined', 'attend', 'cousin', 'rosings', 'engaged', 'drink', 'tea']",22,agitation tear subject occasioned brought headache grew much worse towards evening added unwillingness see darcy determined attend cousin rosings engaged drink tea
